CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
3379	9.6151	0	7.69	9.28		1	1	0.8	PC	7.69	609213	0	11.6	LB	 35512-1-01	BEEF, RIB EYE 12-OZ 1112 CH			0.8	1	0.75	11.6	9.6151	0.8	1	06/27/2011
3379	7.1092	0	3.84	4.53		2	1	0.54	LB	3.84	609213	0	8.38	LB	 38037-1-01	BEEF, TERES MAJOR STEAK 8-OZ	ONE PIECE		0.54	1	1	8.38	7.1092	0.54	1	06/27/2011
3379	6.9692	0	5.71	7.46		3	1	0.82	LB	5.71	609213	0	9.1	LB	 37903-1-01	BEEF, SHORT RIBS 6-OZ 1123 CH	TWO PIECES		0.82	1	1	9.1	6.9692	0.82	1	06/27/2011
3379	0	0	0	0		0	2	0		0	609213	0	0		     0-0-00	MRK BX OZZIE CALHOUN/PEARLS			0	0	0	0	0	0	0	06/27/2011
3379	5.6235	0	5.96	7.34		1	1	1.06	PC	5.96	609214	0	6.92	LB	 34548-1-01	BEEF,TOP BUTT 8-OZ CC 1184B			1.06	2	1	6.92	5.6235	1.06	1	06/27/2011
3379	3.8922	0	4.13	5.26		2	1	1.06	PC	4.13	609214	0	4.96	LB	 38411-1-01	BEEF, BALL TIP 8-OZ CH			1.06	2	1	4.96	3.8922	1.06	1	06/27/2011
3379	0	0	0	0		0	2	0		0	609214	0	0		     0-0-00	MRK BX GERALDINE/VAUGHANS			0	0	0	0	0	0	0	06/27/2011
440	0.05	0.4	74.1	592.8		1	1	1482	LB	74.1	609217	0	0.4	LB	 41108-1-01	BEEF, TRIMMINGS			1482	5000	5000	0.4	0.05	1482	2	06/27/2011
440	0.8	1.16	5848	8479.6		2	1	7310	LB	5848	609217	0	1.16	LB	 43738-1-01	FROZEN BNLS STEAK TRIMMINGS			7310	5000	5000	1.16	0.8	7310	4	06/27/2011
955	15.11	17.35	188.27	216.18		1	1	12.46	BX	188.27	609220	0	17.35	LB	 42363-1-01	FILET, 10-OZ 1190 WILDFIRE SEL			12.46	1	12.5	17.35	15.11	12.46	1	06/27/2011
955	15.11	17.35	260.19	298.77		2	1	17.22	BX	260.19	609220	0	17.35	LB	 42361-1-01	FILET, 7-OZ 1190 WILDFIRE SEL			17.22	2	17.5	17.35	15.11	17.22	2	06/27/2011
955	9.75	11.25	229.33	264.6		3	1	23.52	BX	229.33	609220	0	11.25	LB	 35170-1-01	FILET, 3-OZ 1190A 3/PK			23.52	2	22.5	11.25	9.75	23.52	2	06/27/2011
955	3.65	3.95	112.42	121.66		4	1	30.8	BX	112.42	609220	0	3.95	LB	 66512-1-01	PORK, BACKRIBS 1 3/4DN SKD			30.8	1	30	3.95	3.65	30.8	1	06/27/2011
955	6.95	8.05	131.36	152.15		5	1	18.9	LB	131.36	609220	0	8.05	LB	 44205-1-01	BEEF, BNLS SHORT RIB 123D NVL			18.9	16	16	8.05	6.95	18.9	1	06/27/2011
955	1.87	2.5	30.86	41.25		6	1	16.5	PC	30.86	609220	0	2.5	LB	 66387-1-01	PORK, BUTT BNLS			16.5	2	14	2.5	1.87	16.5	1	06/27/2011
