LineWarehouse	LineCode	LineType	Comments
17	6418	4	DELETE SCANNER 18
17	6419	4	delete scanner 19
17	642 	4	DELETE SCANNER 2
17	6420	4	delete scanner 20
17	643 	4	DELETE SCANNER 3
17	644 	4	DELETE SCANNER 4
17	645 	4	DELETE SCANNER 5
17	646 	4	DELETE SCANNER 6
17	647 	4	inv del scanner 7
17	648 	4	DELETE SCANNER 8
17	649 	4	DELETE SCANNER 9
1	6749	1	Sergio
17	6890	1	Eddie Collins
6	6919	1	ir label print 19
6	6920	1	ir label print 20
6	694 	1	Inv Rec Scanner 4
11	7   	3	scale007
7	711 	1	Inv Rec Scanner #1
7	7110	1	Inv Rec Scanner 10
7	7111	1	Inv Rec Scanner 11
7	7112	1	Inv Rec Scanner 12
7	7113	1	INV RECD SCANNER 13
7	7114	1	INV RECD SCANNER 14
7	7115	1	INV RECD SCANNER 15
7	7116	1	INV RECD SCANNER 16
7	7117	1	INV RECD SCANNER 17
7	7118	1	INV RECD SCANNER 18
7	712 	1	Inv Rec Scanner 2
7	713 	1	Inv Rec Scanner 3
7	714 	1	Inv Rec Scanner 4
7	715 	1	Inv Rec Scanner 5
7	716 	1	Inv Recpt Scanner 6
7	717 	1	Inv Recp Scanner 7
7	718 	1	Inv Rec Scanner 8
7	719 	1	Inv Rec Scanner 9
7	721 	2	R/M USAGE SCANNER 1
17	7210	2	R/M USAGE SCANNER 10
17	7211	2	R/M USAGE SCANNER 11
17	7212	2	R/M USAGE SCANNER 12
17	7213	2	inv usage scanner 13
17	7214	2	usage scanner 14
17	7215	2	usage scanner 15
17	7216	2	usage scanner 16
17	7217	2	usage scanner 17
17	7218	2	usage scanner 18
17	722 	2	R/M USAGE SCANNER 2
17	723 	2	R/M USAGE SCANNER 3
17	724 	2	R/M USAGE SCANNER 4
17	725 	2	R/M USAGE SCANNER 5
17	726 	2	R/M USAGE SCANNER 6
17	727 	2	R/M USAGE SCANNER 7
17	728 	2	R/M USAGE SCANNER 8
17	729 	2	R/M USAGE SCANNER 9
17	7300	4	delete pc wkstn
1	7301	1	inv rec pc wkstn
2	7302	1	inv rec pc wrkstn
17	7303	4	
5	7305	1	rec inv pc wrkstn
6	7306	1	rec inv pc wrkstn
7	7310	4	PC WORKSTN DELETE
1	7311	1	inv rec pc wkstn
1	7320	4	Prod Code Transfer
1	7321	1	Prod Code Transfer
1	7330	4	warehouse1delete
1	7331	1	receivew1
1	7340	4	4to5Program
1	7341	1	Rec whse 1
1	7350	4	Delete Whse1
1	7351	1	
1	7360	4	warehouse1delete
1	7361	1	warehouse1rec
1	7370	4	BLUE RACKS DEL 4TO5
1	7371	1	BLUE RACKS RCV 4TO5
6	7380	4	W6 DEL 4TO5
6	7381	1	W6 4to5 rcv
7	741 	4	delete scanner 1
17	7410	4	delete scanner 10
17	7411	4	delete scanner 11
17	7412	4	delete scanner 12
17	7413	4	delete scanner 13
17	7414	4	delete scanner 14
5	7415	1	FACS RCV WHSE5 MORTN
17	7416	4	delete scanner 16
17	7417	4	delete scanner 17
17	7418	4	delete scanner 18
17	7419	4	delete scanner 19
7	742 	4	delete scanner 2
7	7420	4	delete scanner 20
1	7421	1	RAY GONZALEZ
2	7422	1	FRANK NICOSIA BEV 
17	7423	4	delete scanner 23
7	743 	4	delete scanner 3
17	744 	4	delete scanner 4
17	745 	4	delete scanner 5
17	746 	4	delete scanner 6
17	747 	4	delete scanner 7
17	748 	4	delete scanner 8
17	749 	4	delete scanner 9
6	7685	1	FA Inv Rcv
1	8   	3	SCALE 8
17	811 	1	Inv Rec Scanner 1
1	8110	5	PRINT ONLY BY FRZR
17	8111	1	Inv Rec Scanner 11
17	8112	1	Inv Rec Scanner 12
1	8113	1	ANTHONY CERVONE TEMP
17	812 	1	Inv Rec Scanner 2
17	813 	1	Inv Rec Scanner 3
17	814 	1	Inv Rec Scanner 4
17	815 	1	Inv Rec Scanner 5
17	816 	1	Inv Rec Scanner 6
8	817 	1	Inv Rec Scanner 7
17	818 	1	Inv Rec Scanner 8
17	819 	1	Inv Rec Scanner 9
1	8301	1	FRANK NICOSIA
5	8305	1	FRANK NICOSIA WHSE5
1	8701	1	OAKLEY RECEIVE PRINT
1	8901	1	Eddie Collins
6	9205	1	SYP FREEZER RCV 4 FA
5	9712	1	CH Robinson IR Rcpt
1	9999	1	Test Line
