LongDate	ReceivedDate	TransactionDate	Sequence	ProductCode	LotNumber	LotUnitCost	AlternateQuantity	PricingQuantity	SerialNumber	LineCode	VendorCode	Pallet_ID	TransactionType	PO_Number	Warehouse
201106201043	06/20/2011	06/20/2011	3605	  2321-1-01	6807073748	5.75	1	37.3	12041003	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3606	  2321-1-01	6807074134	5.75	1	40.3	12041004	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3607	  2321-1-01	6807083121	5.75	1	43.4	12041005	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3608	  2321-1-01	6807083351	5.75	1	40.2	12041006	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3609	  2321-1-01	6807084208	5.75	1	39.2	12041007	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3610	  2321-1-01	6807093507	5.75	1	41.1	12041008	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3611	  2321-1-01	6807114738	5.75	1	36	12041009	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3612	  2321-1-01	6807133249	5.75	1	36.7	12041010	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3613	  2321-1-01	6907102451	5.75	1	26.6	12041011	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3614	  2321-1-01	6907111833	5.75	1	36.4	12041012	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3615	  2321-1-01	6907111914	5.75	1	39	12041013	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3616	  2321-1-01	6907113553	5.75	1	38	12041014	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3617	  2321-1-01	6907114016	5.75	1	34.6	12041015	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3618	  2321-1-01	6907114745	5.75	1	40.7	12041016	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3619	  2321-1-01	6907125724	5.75	1	34.5	12041017	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3620	  2321-1-01	6907131210	5.75	1	35.4	12041018	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3621	  2321-1-01	6907132121	5.75	1	33.3	12041019	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3622	  2321-1-01	6907132840	5.75	1	36.8	12041020	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3623	  2321-1-01	6907135007	5.75	1	37.6	12041021	3901	14126	00004775        	1	     56480	1
201106201043	06/20/2011	06/20/2011	3634	 35002-1-01	0026061889	16.1993	1	15.08	12041022	1   	0		3		1
201106201043	06/20/2011	06/20/2011	3635	 14166-1-01	0026061890	16.0167	1	10.96	12041023	1   	0		3		1
201106201044	06/20/2011	06/20/2011	3636	 14166-1-01	0026061891	16.0167	1	10.94	12041024	1   	0		3		1
201106201044	06/20/2011	06/20/2011	3637	 35002-1-01	0026061892	16.1993	1	14.86	12041025	1   	0		3		1
201106201044	06/20/2011	06/20/2011	3638	 35002-1-01	0026061893	16.1993	1	14.94	12041026	1   	0		3		1
201106201045	06/20/2011	06/20/2011	3639	 35002-1-01	0026061894	16.1993	1	15.36	12041027	1   	0		3		1
201106201045	06/20/2011	06/20/2011	3640	 35002-1-01	0026061895	16.1993	1	15.3	12041028	1   	0		3		1
201106201045	06/20/2011	06/20/2011	3641	 35002-1-01	0026061896	16.1993	1	14.86	12041029	1   	0		3		1
201106201045	06/20/2011	06/20/2011	3642	 35002-1-01	0026061897	16.1993	1	14.82	12041030	1   	0		3		1
201106201045	06/20/2011	06/20/2011	3643	 16029-1-01	0026061898	13.3333	1	10.06	12041031	1   	0		3		1
201106201046	06/20/2011	06/20/2011	3644	 16029-1-01	0026061899	13.3333	1	10.16	12041032	1   	0		3		1
201106201046	06/20/2011	06/20/2011	3645	 14142-1-01	0026061900	17.4917	1	15.18	12041033	1   	0		3		1
201106201046	06/20/2011	06/20/2011	3646	 14142-1-01	0026061901	17.4917	1	15.22	12041034	1   	0		3		1
201106201046	06/20/2011	06/20/2011	3647	 14142-1-01	0026061902	17.4917	1	15.06	12041035	1   	0		3		1
201106201047	06/20/2011	06/20/2011	3648	 15254-1-01	0026061903	23.0523	1	5.94	12041036	1   	0		3		1
201106201048	06/20/2011	06/20/2011	3649	 95254-1-01	0026061904	23.0132	1	25.86	12041037	1   	0		3		1
201106201048	06/20/2011	06/20/2011	3650	 14119-1-01	0026061905	18.8607	1	11.72	12041038	1   	0		3		1
201106201048	06/20/2011	06/20/2011	3651	 14119-1-01	0026061906	18.8607	1	11.7	12041039	1   	0		3		1
201106201049	06/20/2011	06/20/2011	3652	 34548-1-01	0026061907	5.7412	1	10.04	12041040	1   	0		3		1
201106201049	06/20/2011	06/20/2011	3653	 15731-1-01	0026061908	15.1383	1	13.68	12041041	1   	0		3		1
201106201049	06/20/2011	06/20/2011	3654	 15731-1-01	0026061909	15.1383	1	13.64	12041042	1   	0		3		1
201106201049	06/20/2011	06/20/2011	3655	 15731-1-01	0026061910	15.1383	1	13.5	12041043	1   	0		3		1
201106201049	06/20/2011	06/20/2011	3624	  1806-1-01	6407141815	2.35	1	70.8	12041044	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3625	  1806-1-01	6407141841	2.35	1	71.6	12041045	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3626	  1806-1-01	6407141909	2.35	1	71.2	12041046	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3627	  1806-1-01	6407141943	2.35	1	70.3	12041047	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3628	  1806-1-01	6407142006	2.35	1	71	12041048	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3629	  1806-1-01	6407142037	2.35	1	74.1	12041049	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3630	  1806-1-01	6407142107	2.35	1	65.5	12041050	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3631	  1806-1-01	6407142157	2.35	1	64.4	12041051	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3632	  1806-1-01	6407142727	2.35	1	68.8	12041052	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3633	  1806-1-01	6407142749	2.35	1	60.7	12041053	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3634	  1806-1-01	6407143213	2.35	1	46.1	12041054	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3635	  1806-1-01	6407143319	2.35	1	59.8	12041055	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3636	  1806-1-01	6407143322	2.35	1	63.4	12041056	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3637	  1806-1-01	6407143324	2.35	1	61.5	12041057	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3638	  1806-1-01	6407143348	2.35	1	68.9	12041058	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3639	  1806-1-01	6407143504	2.35	1	60.1	12041059	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3640	  1806-1-01	6407143606	2.35	1	57.1	12041060	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3641	  1806-1-01	6407143626	2.35	1	74.8	12041061	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3642	  1806-1-01	6407143643	2.35	1	52.5	12041062	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3643	  1806-1-01	6407143652	2.35	1	56.6	12041063	3901	14126	00004774        	1	     56480	1
201106201049	06/20/2011	06/20/2011	3656	 14542-1-01	0026061911	5.9136	1	13.28	12041064	1   	0		3		1
201106201050	06/20/2011	06/20/2011	3657	 15254-1-01	0026061912	23.0523	1	5.76	12041065	1   	0		3		1
201106201050	06/20/2011	06/20/2011	3658	 15027-1-01	0026061913	23.0523	1	7.54	12041066	1   	0		3		1
201106201050	06/20/2011	06/20/2011	3659	 15027-1-01	0026061914	23.0523	1	7.54	12041067	1   	0		3		1
201106201050	06/20/2011	06/20/2011	3660	 34162-1-01	0026061915	7.5	1	10.62	12041068	1   	0		3		1
201106201051	06/20/2011	06/20/2011	3661	 34162-1-01	0026061916	7.5	1	10.7	12041069	1   	0		3		1
201106201051	06/20/2011	06/20/2011	3662	 34162-1-01	0026061917	7.5	1	10.76	12041070	1   	0		3		1
201106201051	06/20/2011	06/20/2011	3663	 14254-1-01	0026061918	18.3642	1	14.9	12041071	1   	0		3		1
201106201052	06/20/2011	06/20/2011	3664	 14254-1-01	0026061919	18.3642	1	15.02	12041072	1   	0		3		1
201106201052	06/20/2011	06/20/2011	3665	 34190-1-01	0026061920	7.5	1	8.64	12041073	1   	0		3		1
201106201052	06/20/2011	06/20/2011	3666	 34190-1-01	0026061921	7.5	1	8.74	12041074	1   	0		3		1
201106201053	06/20/2011	06/20/2011	3667	 34190-1-01	0026061922	7.5	1	8.88	12041075	1   	0		3		1
201106201053	06/20/2011	06/20/2011	3668	 34190-1-01	0026061923	7.5	1	8.8	12041076	1   	0		3		1
201106201053	06/20/2011	06/20/2011	3669	 34190-1-01	0026061924	7.5	1	8.76	12041077	1   	0		3		1
201106201053	06/20/2011	06/20/2011	3670	 34442-1-01	0026061925	17.6075	1	10.46	12041078	1   	0		3		1
201106201053	06/20/2011	06/20/2011	3671	 34442-1-01	0026061926	17.6075	1	10.42	12041079	1   	0		3		1
201106201054	06/20/2011	06/20/2011	3672	 34442-1-01	0026061927	17.6075	1	10.44	12041080	1   	0		3		1
201106201054	06/20/2011	06/20/2011	3673	 34442-1-01	0026061928	17.6075	1	10.5	12041081	1   	0		3		1
201106201054	06/20/2011	06/20/2011	3674	 34442-1-01	0026061929	17.6075	1	10.42	12041082	1   	0		3		1
201106201056	06/20/2011	06/20/2011	6478	 14254-1-01	0026060784	18.3642	-1	-14.9	12041083	7340	1		4		1
201106201056	06/20/2011	06/20/2011	7201	 14254-1-01	0026060784	18.3642	1	14.9	12041084	7341	1		1		1
201106201056	06/20/2011	06/20/2011	6479	 14254-1-01	0026060786	18.3642	-1	-14.92	12041085	7340	1		4		1
201106201056	06/20/2011	06/20/2011	7202	 14254-1-01	0026060786	18.3642	1	14.92	12041086	7341	1		1		1
201106201057	06/20/2011	06/20/2011	3675	 16061-1-01	0026061930	18.3642	1	14.9	12041087	1   	0		3		1
201106201057	06/20/2011	06/20/2011	3676	 16061-1-01	0026061931	18.3642	1	15.26	12041088	1   	0		3		1
201106201057	06/20/2011	06/20/2011	6480	 35237-1-01	0026060004	16.8083	-1	-15.62	12041089	7340	1		4		1
201106201057	06/20/2011	06/20/2011	7203	 35237-1-01	0026060004	16.8083	1	15.62	12041090	7341	1		1		1
201106201057	06/20/2011	06/20/2011	6481	 35237-1-01	0026058972	16.8083	-1	-15.22	12041091	7340	1		4		1
201106201057	06/20/2011	06/20/2011	7204	 35237-1-01	0026058972	16.8083	1	15.22	12041092	7341	1		1		1
201106201057	06/20/2011	06/20/2011	6482	 35237-1-01	0026059981	16.8083	-1	-15.48	12041093	7340	1		4		1
201106201057	06/20/2011	06/20/2011	7205	 35237-1-01	0026059981	16.8083	1	15.48	12041094	7341	1		1		1
201106201057	06/20/2011	06/20/2011	3677	 15752-1-01	0026061932	10.5	1	10.22	12041095	1   	0		3		1
201106201057	06/20/2011	06/20/2011	3678	 15752-1-01	0026061933	10.5	1	10.14	12041096	1   	0		3		1
201106201059	06/20/2011	06/20/2011	3644	  2299-1-01	0000192356	2.08	1	71.1	12041097	3901	14126	00004773        	1	     56480	1
201106201059	06/20/2011	06/20/2011	3645	  2299-1-01	6407143331	2.08	1	71.1	12041098	3901	14126	00004773        	1	     56480	1
201106201059	06/20/2011	06/20/2011	3646	  2299-1-01	6407143530	2.08	1	71.9	12041099	3901	14126	00004773        	1	     56480	1
201106201059	06/20/2011	06/20/2011	3647	  2299-1-01	6507073821	2.08	1	57.8	12041100	3901	14126	00004773        	1	     56480	1
201106201059	06/20/2011	06/20/2011	3648	  2299-1-01	6507074202	2.08	1	60	12041101	3901	14126	00004773        	1	     56480	1
201106201059	06/20/2011	06/20/2011	3649	  2299-1-01	6507074409	2.08	1	53.5	12041102	3901	14126	00004773        	1	     56480	1
