CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	InvoiceDate
159	16.0137	17.95	1278.85	1457.45		5	1	79.86	BX	1278.85	605580	0	18.25	LB	 15717-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			79.86	6	78.75	18.25	16.0137	79.86	6	05/06/2011
159	15.5592	17.95	587.51	685.34		6	1	37.76	BX	587.51	605580	0	18.15	LB	 16020-1-01	BEEF, P-HOUSE 40-OZ 1" PR			37.76	3	37.5	18.15	15.5592	37.76	3	05/06/2011
159	12.1973	14.95	170.27	208.7		7	1	13.96	BX	170.27	605580	0	14.95	LB	 55216-1-01	LAMB, P-HOUSE 12-OZ 1/4" TRIM			13.96	1	12	14.95	12.1973	13.96	1	05/06/2011
159	16.5711	17.5	344.01	363.3		8	1	20.76	BX	344.01	605580	0	17.5	LB	 56260-1-01	VEAL, RIB CHOP 16-OZ CC FR'D			20.76	2	20	17.5	16.5711	20.76	2	05/06/2011
159	2.83	3.95	90.88	126.4		9	1	32	LB	90.88	605580	0	3.95	LB	 11361-1-01	GROUND BEEF, 8/2# BULK 75/25			32	32	32	3.95	2.83	32	2	05/06/2011
159	4.55	8.5	159.8	298.52		10	1	35.12	BX	159.8	605580	0	8.5	LB	 31121-1-01	BEEF, RIB CAP MEAT PR			35.12	4	40	8.5	4.55	35.12	4	05/06/2011
3745	7.5	10.5	66	92.4		1	1	8.8	BX	66	605581	0	10.5	LB	 34190-1-01	STRIPSTK, 14-OZ CC BNLS			8.8	1	8.75	10.5	7.5	8.8	1	05/06/2011
3745	6.27	8.25	285.16	375.21		2	1	45.48	BX	285.16	605581	0	8.25	LB	 43772-1-01	BEEF, OUTER SKIRT SKD&PIN PR			45.48	3	45	8.25	6.27	45.48	3	05/06/2011
3745	4.6	0	48.94	62.24		3	1	10.64	BX	48.94	605581	0	5.85	LB	 66131-1-01	PORK, CHOP 12-OZ CC FRENCHED			10.64	1	10.5	5.85	4.6	10.64	1	05/06/2011
3745	4.14	5.05	82.8	101		4	1	20	LB	82.8	605581	0	5.05	LB	 11367-1-01	BEEF, GROUND 4/5# PKGS KOBE			20	20	20	5.05	4.14	20	1	05/06/2011
894	15.35	0	322.35	330.75		1	1	21	BX	322.35	605582	0	15.75	LB	 55056-1-01	LAMB, RACK 26-OZ/UP FR'D C/OFF			21	1	19.5	15.75	15.35	21	1	05/06/2011
3714	7.5	0	76.65	120.09		1	1	10.22	BX	76.65	605583	0	11.75	LB	 34323-1-01	STRIPSTK, 8-OZ CC BNLS 1" CH			10.22	1	10	11.75	7.5	10.22	1	05/06/2011
3714	7.15	5.8	143	173		2	1	20	BX	143	605583	0	8.65	LB	 55627-1-01	LAMB, STEW FROZEN			20	2	20	8.65	7.15	20	2	05/06/2011
3714	8.1	5.55	162	191		3	1	20	BX	162	605583	0	9.55	LB	 55611-1-01	LAMB, GROUND FROZEN			20	2	20	9.55	8.1	20	2	05/06/2011
437	3.48	4.4	104.4	132		1	1	30	BX	104.4	605584	0	4.4	LB	 66468-1-01	BACON, 18/22 SYP 15# GRILL RDY			30	2	30	4.4	3.48	30	2	05/06/2011
437	1.92	2.95	19.2	29.5		2	1	10	BX	19.2	605584	0	2.95	LB	 66600-1-01	PORK, LINKS 1-OZ SYP			10	1	10	2.95	1.92	10	1	05/06/2011
437	11.18	13.25	36.89	43.73		3	1	3.3	PC	36.89	605584	0	13.25	LB	 56714-1-01	VEAL, LOIN 0X0 BNLS PROVIMI			3.3	1	3.5	13.25	11.18	3.3	1	05/06/2011
437	13.7	17.25	748.02	941.85		4	1	54.6	LB	748.02	605584	0	17.25	LB	 32224-1-01	TENDERS, 4-5# NOT OVER 5#			54.6	45	45	17.25	13.7	54.6	1	05/06/2011
437	2.72	3.65	36.18	48.55		5	1	13.3	BX	36.18	605584	0	3.65	LB	 43694-1-01	GROUND BEEF,PATTY 5.3-OZ 80/20			13.3	1	13.25	3.65	2.72	13.3	1	05/06/2011
437	2.47	2.8	24.7	28		6	1	10	LB	24.7	605584	0	2.8	LB	 21802-1-01	GROUND CHUCK, CAB			10	10	10	2.8	2.47	10	1	05/06/2011
437	18.936	21.85	40.9	47.2		7	1	2.16	PC	40.9	605584	0	21.85	LB	 35288-1-01	FILET, 8-OZ 1190B SK/S OFF			2.16	5	2.5	21.85	18.936	2.16	1	05/06/2011
4127	8.6	0	671.66	683.38		1	1	78.1	BX	671.66	605585	0	8.75	LB	 32212-1-01	TENDERS, 5/UP 189A PSMO CH			78.1	1	60	8.75	8.6	78.1	1	05/06/2011
4127	9.9214	0	149.81	186.49		2	1	15.1	BX	149.81	605585	0	12.35	LB	 36064-1-01	BEEF, P-HOUSE 24-OZ 1" TL MP			15.1	1	15	12.35	9.9214	15.1	1	05/06/2011
