CustomerCode	DefaultCost	DefaultPrice	ExtendedCost	ExtendedPrice	FilledDescription	LineNumber	LineType	LineWeight	OrderByUM	LotTotalCost	OrderNumber	OverrideCost	OverridePrice	PricingUM	ProductCode	ProductDescription	ProductText1	ProductText2	Quantity_Pricing	Quantity_Ordered	Quantity_Estimated	UnitPrice	UnitCost	LotQuantity_Prc	LotQuantity_Alt	OrderDate
3672	14.93	0	314.43	356.97		1	1	21.06	PC	314.43	602190	0	16.95	LB	 42362-1-01	FILET, 8-OZ 1190 WILDFIRE SEL	2/BX	PACK IN SMALL PLAIN BXS	21.06	40	20	16.95	14.93	21.06	2	03/21/2011
4127	7.9167	0	-101.02	-125.81		1	1	-12.76	LB	0	602191	0	9.86	LB	 34258-1-01	STRIPSTK, 20-OZ CC NV BI MP			-12.76	-12.76	-12.76	9.86	7.9167	0	0	03/21/2011
4127	0	0	0	0		0	2	0		0	602191	0	0		     0-0-00	REFER TO 601647 INCORECT ITEM	RA-01366		0	0	0	0	0	0	0	03/21/2011
4136	15.9526	18.75	-51.85	-60.94		1	1	-3.25	LB	0	602192	0	18.75	LB	 35002-1-01	FILET, 10-OZ 1190			-3.25	-3.25	-3.25	18.75	15.9526	0	0	03/21/2011
4136	0	0	0	0		0	2	0		0	602192	0	0		     0-0-00	REFER TO INVOICE 601401	QUALITY RA-01361		0	0	0	0	0	0	0	03/21/2011
4075	16.4265	18.25	170.84	189.8		1	1	10.4	BX	170.84	602193	0	18.25	LB	 16019-1-01	BEEF, P-HOUSE 28-OZ PR			10.4	1	10.5	18.25	16.4265	10.4	1	03/21/2011
4075	17.3471	18.25	232.8	244.92		2	1	13.42	BX	232.8	602193	0	18.25	LB	 15717-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			13.42	1	13.13	18.25	17.3471	13.42	1	03/21/2011
4075	8.89	9.95	425.83	476.61		3	1	47.9	PC	425.83	602193	0	9.95	LB	 11314-1-01	BEEF, RIB EYE 2" 13 1/2 UP PR			47.9	3	40.5	9.95	8.89	47.9	1	03/21/2011
4075	17.6	0	338.8	345.54		4	1	19.25	BX	338.8	602193	0	17.95	LB	 55055-1-01	LAMB, RACK 8-RIB 14/16-OZ FRD			19.25	1	18.75	17.95	17.6	19.25	1	03/21/2011
4075	18.3219	18.95	188.35	194.81		5	1	10.28	BX	188.35	602193	0	18.95	LB	 56264-1-01	VEAL, RIB CHOP 16-OZ CC			10.28	1	10	18.95	18.3219	10.28	1	03/21/2011
4136	17.7986	18.35	-49.48	-51.01		1	1	-2.78	LB	0	602194	0	0	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-2.78	-2.78	-2.78	18.35	17.7986	0	0	03/21/2011
4136	0	0	0	0		0	2	0		0	602194	0	0		     0-0-00	REFER TO INVOICE 601491	QUALITY RA-01363		0	0	0	0	0	0	0	03/21/2011
3060	3.5789	0	1717.92	2107.2		1	1	480	BX	1717.92	602195	0	4.39	LB	 43732-1-01	BEEF, STEW FROZEN, 1" 10 LBS			480	48	480	4.39	3.5789	480	48	03/21/2011
3060	3.5	0	177.03	333.83		2	1	50.58	BX	177.03	602195	0	6.6	LB	 36826-1-01	BEEF, STRIP LOIN STK 8-OZ CH			50.58	5	50	6.6	3.5	50.58	5	03/21/2011
3060	7.52	0	356.46	382.52		3	1	47.4	BX	356.46	602195	0	8.07	LB	 42230-1-01	TENDERS, 5/UP PSMO SEL			47.4	4	40	8.07	7.52	47.4	4	03/21/2011
748	17.7986	18.35	-122.45	-126.25		1	1	-6.88	LB	0	602196	0	18.35	LB	 15731-1-01	BEEF, RIB CHOP 20/22-OZ FRD PR			-6.88	-6.88	-6.88	18.35	17.7986	0	0	03/21/2011
748	5.8455	7.75	-26.3	-34.88		2	1	-4.5	LB	0	602196	0	0	LB	 14542-1-01	TOP BUTT CAP (LONDON BROIL) PR			-4.5	-4.5	-4.5	7.75	5.8455	0	0	03/21/2011
748	0	0	0	0		0	2	0		0	602196	0	0		     0-0-00	REFER TO 601492 QUALITY	RA-01364		0	0	0	0	0	0	0	03/21/2011
3243	5.45	0	246.9	283.58		1	1	45.3	BX	246.9	602197	0	6.26	LB	 66433-1-01	BACON, NUESKE SLAB			45.3	4	40	6.26	5.45	45.3	4	03/21/2011
3243	5.71	0	1514.7	1771.2		2	1	270	BX	1514.7	602197	0	6.56	LB	 66469-1-01	BACON, 8/11 APPLEWOOD SMOKED			270	27	270	6.56	5.71	270	27	03/21/2011
3243	5.61	0	673.2	774		3	1	120	BX	673.2	602197	0	6.45	LB	 66425-1-01	BACON, NUESKE 16/20 #2174			120	12	120	6.45	5.61	120	12	03/21/2011
3266	11.32	0	6892.76	7124.13		1	1	608.9	BX	6892.76	602198	0	11.7	LB	 11202-1-01	TENDERS, 5/UP 189A PSMO PR			608.9	8	480	11.7	11.32	608.9	8	03/21/2011
3266	10.3842	0	1058.77	1234.74		2	1	101.96	BX	1058.77	602198	0	12.11	LB	 39639-1-01	BEEF, RIB CHOP 14-OZ 1103B ANG			101.96	11	96.25	12.11	10.3842	101.96	11	03/21/2011
3266	19.2849	0	2136.37	2461.53		3	1	110.78	BX	2136.37	602198	0	22.22	LB	 39465-1-01	FILET, 9-OZ 1190B CC ANGUS			110.78	11	111.38	22.22	19.2849	110.78	11	03/21/2011
3266	10.3842	0	555.55	631.3		4	1	53.5	BX	555.55	602198	0	11.8	LB	 39627-1-01	BEEF, RIB CHOP 18-OZ FRD ANGUS			53.5	6	54	11.8	10.3842	53.5	6	03/21/2011
3266	6.7762	0	807.19	975.59		5	1	119.12	BX	807.19	602198	0	8.19	LB	 34531-1-01	BEEF, TOP BUTT 8-OZ BASEBALL			119.12	10	120	8.19	6.7762	119.12	10	03/21/2011
3266	4.48	0	103.49	113.42		6	1	23.1	BX	103.49	602198	0	4.91	LB	 31403-1-01	STRIPLOIN, 0X1 BNLS 1/BOX			23.1	2	24	4.91	4.48	23.1	2	03/21/2011
3266	10.3842	0	239.66	279.5		7	1	23.08	BX	239.66	602198	0	12.11	LB	 39624-1-01	BEEF, RIB CHOP 12-OZ FRD ANGUS			23.08	2	21	12.11	10.3842	23.08	2	03/21/2011
3266	2.48	0	408.21	457.59		8	1	164.6	BX	408.21	602198	0	2.78	LB	 31008-1-01	BEEF, INSIDE ROUND CH			164.6	6	120	2.78	2.48	164.6	6	03/21/2011
3266	9.6864	0	1477.94	1727.21		9	1	152.58	BX	1477.94	602198	0	11.32	LB	 39310-1-01	STRIPSTK, 12-OZ CC BNLS ANGS			152.58	10	150	11.32	9.6864	152.58	10	03/21/2011
3266	7.5	0	1359.98	1612.02		10	1	181.33	BX	1359.98	602198	0	8.89	LB	 34154-1-01	STRIPSTK, 12-OZ CC BNL 1" CH			181.33	12	180	8.89	7.5	181.33	12	03/21/2011
3266	4.5416	0	470.52	588.45		11	1	103.6	BX	470.52	602198	0	5.68	LB	 38411-1-01	BEEF, BALL TIP 8-OZ CH			103.6	10	100	5.68	4.5416	103.6	10	03/21/2011
3266	4.5416	0	504.74	631.28		12	1	111.14	BX	504.74	602198	0	5.68	LB	 38410-1-01	BEEF, BALL TIP 6-OZ CH			111.14	11	110	5.68	4.5416	111.14	11	03/21/2011
3266	7.52	0	1073.09	1151.59		13	1	142.7	BX	1073.09	602198	0	8.07	LB	 42230-1-01	TENDERS, 5/UP PSMO SEL			142.7	12	120	8.07	7.52	142.7	12	03/21/2011
